,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
39,"('」', 'w')","('好', 'a')","('猴王', 'n')","('，', 'w')","('將', 'v')","('身', 'n')","('一', 'm')","('縱', 'n')","('，', 'w')","('跳起', 'v')","('去', 'v')","('，', 'w')","('一路', 'n')","('觔', 'v')","('斗', 'v')","('，', 'w')","('直至', 'v')","('北', 'nd')","('下', 'v')","('觀', 'n')","('看', 'v')","('，', 'w')","('見', 'v')","('一', 'm')","('座', 'q')","('高山', 'n')","('，', 'w')","('真是', 'd')","('十分', 'd')","('險', 'v')","('峻', 'a')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"('有', 'v')","('東', 'n')","('土', 'n')","('大唐', 'nt')","('遠', 'n')","('來', 'n')","('取', 'v')","('經', 'n')","('的', 'u')","('一', 'm')","('個', 'n')","('聖', 'n')","('僧', 'n')","('孫', 'n')","('長', 'n')","('老', 'a')","('揭', 'v')","('了', 'u')","('，', 'w')","('現', 'v')","('在', 'p')","('會', 'n')","('同', 'p')","('館', 'n')","('內', 'n')","('，', 'w')","('要', 'vu')","('王', 'nhf')","('親', 'n')","('自', 'p')","('去', 'v')","('請', 'v')","('他', 'r')","('，', 'w')","('他', 'r')","('有', 'v')","('手到病除', 'n')","('之', 'u')","('功', 'n')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"('」', 'w')","('言', 'v')","('畢', 'n')","('起身', 'v')","('，', 'w')","('付', 'v')","('著', 'v')","('與', 'v')","('他', 'r')","('看', 'v')","('，', 'w')","('朝', 'p')","('這', 'v')","('些', 'q')","('無', 'n')","('考究', 'a')","('的', 'u')","('人', 'n')","('作', 'v')","('了', 'u')","('半截', 'q')","('揖', 'n')","('，', 'w')","('跟著', 'v')","('蒼', 'n')","('頭', 'n')","('便', 'd')","('走', 'v')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"('玉', 'n')","('狐', 'n')","('見', 'v')","('周', 'nhf')","('生', 'v')","('說', 'n')","('話', 'n')","('親', 'n')","('切', 'v')","('，', 'w')","('便', 'd')","('知', 'v')","('其', 'r')","('心', 'n')","('已', 'd')","('動', 'v')","('，', 'w')","('乃', 'd')","('含笑', 'v')","('答道', 'v')","('：', 'w')","('「', 'w')","('萍水相逢', 'nhs')","('，', 'w')","('何敢', 'r')","('周', 'nhf')","('公子', 'n')","('拜', 'v')","('訪', 'n')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"('倘若', 'c')","('妖狐', 'v')","('回', 'v')","('頭', 'ns')","('苦', 'a')","('煉', 'n')","('，', 'w')","('向善', 'v')","('改', 'v')","('惡', 'n')","('，', 'w')","('山人', 'n')","('今日', 'nt')","('一', 'm')","('施', 'v')","('恩惠', 'n')","('，', 'w')","('便', 'd')","('可', 'vu')","('保住', 'v')","('了', 'u')","('金丹', 'n')","('大道', 'n')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"('」', 'w')","('主意', 'n')","('想', 'v')","('妥', 'a')","('，', 'w')","('頃', 'n')","('刻', 'v')","('仍', 'd')","('復', 'v')","('成', 'v')","('胡', 'nhf')","('小姐', 'n')","('的', 'u')","('模', 'n')","('樣', 'n')","('，', 'w')","('那', 'r')","('等', 'v')","('好看', 'a')","('，', 'w')","('真似', 'a')","('生', 'v')","('來', 'n')","('的', 'u')","('秋水', 'n')","('為', 'n')","('神', 'n')","('玉', 'n')","('為', 'v')","('骨', 'n')","('，', 'w')","('芙蓉', 'n')","('如', 'v')","('面', 'n')","('柳如', 'n')","('眉', 'n')","('，', 'w')","('整', 'a')","('注', 'v')","('游', 'v')","('龍', 'n')","('不足', 'a')","('比喻', 'n')",,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"('」', 'w')","('況', 'h')","('周', 'nhf')","('生', 'v')","('自', 'p')","('與', 'n')","('玉', 'n')","('狐', 'n')","('相遇', 'v')","('，', 'w')","('已', 'd')","('被', 'p')","('他', 'r')","('幻', 'v')","('術', 'n')","('攏', 'v')","('住', 'v')","('，', 'w')","('莫', 'd')","('說', 'v')","('無', 'v')","('人', 'n')","('指', 'v')","('破', 'a')","('，', 'w')","('即', 'd')","('此', 'r')","('有人', 'r')","('說', 'v')","('他', 'r')","('是', 'vl')","('個', 'v')","('妖精', 'n')","('，', 'w')","('見', 'v')","('此等', 'r')","('美貌', 'a')","('多情', 'a')","('，', 'w')","('公子', 'n')","('亦', 'd')","('不', 'd')","('相信', 'v')",,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"('看著', 'v')","('那', 'r')","('船', 'n')","('很', 'd')","('寬', 'a')","('敞', 'v')","('，', 'w')","('一', 'm')","('個', 'n')","('中', 'nd')","('艙', 'v')","('，', 'w')","('方方', 'nh')","('一', 'm')","('丈', 'q')","('來', 'n')","('大', 'a')","('，', 'w')","('兩', 'n')","('面', 'n')","('短', 'a')","('欄', 'n')","('，', 'w')","('一', 'm')","('排', 'n')","('六', 'm')","('扇', 'n')","('玻璃', 'n')","('蕉', 'n')","('葉', 'v')","('窗', 'n')","('，', 'w')","('炕', 'n')","('床', 'n')","('桌椅', 'n')","('，', 'w')","('鋪', 'v')","('設', 'n')","('得很', 'v')","('為', 'v')","('整', 'a')","('齊', 'n')","('潔', 'v')","('淨', 'n')","('，', 'w')","('裏', 'n')","('面', 'n')","('三', 'm')","('個', 'n')","('房', 'n')","('艙', 'n')",,,,,,,,,,,,,,,,,,,,
47,"('一日', 'i')","('，', 'w')","('薩', 'v')","('克森', 'v')","('船', 'n')","('正', 'd')","('過', 'v')","('地中海', 'ns')","('，', 'w')","('將', 'ns')","('近', 'a')","('意大利', 'ns')","('的', 'u')","('火山', 'n')","('，', 'w')","('時', 'n')","('正', 'd')","('清早', 'nt')","('，', 'w')","('曉', 'n')","('色', 'n')","('蒼', 'a')","('然', 'k')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"('伯', 'n')","('黻', 'n')","('，', 'w')","('這', 'v')","('件', 'q')","('事', 'n')","('，', 'w')","('笑', 'v')","('庵', 'n')","('自己', 'r')","('和', 'c')","('親', 'n')","('供', 'v')","('一般', 'a')","('地', 'u')","('全', 'd')","('告', 'v')","('訴', 'v')","('了', 'u')","('小玉', 'nhs')","('，', 'w')","('不必', 'd')","('他', 'r')","('講', 'v')","('，', 'w')","('叫', 'v')","('小玉', 'nhs')","('替', 'v')","('他', 'r')","('講', 'v')","('得了', 'v')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"('況', 'n')","('且', 'c')","('加', 'v')","('克', 'v')","('奈', 'x')","('夫', 'n')","('又是', 'vl')","('她', 'r')","('素', 'd')","('來', 'v')","('厭', 'v')","('恨', 'v')","('的', 'u')","('，', 'w')","('上回', 'n')","('談', 'v')","('起', 'v')","('他', 'r')","('名氏', 'n')","('，', 'w')","('還', 'v')","('罵', 'v')","('他', 'r')","('哩', 'u')","('，', 'w')","('如何', 'r')","('倒', 'd')","('嫁', 'v')","('他', 'r')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"('」', 'w')","('子', 'n')","('固', 'v')","('道', 'v')","('：', 'w')","('「', 'w')","('這', 'n')","('事', 'n')","('包', 'v')","('在', 'p')","('我', 'r')","('身上', 'nl')","('，', 'w')","('明天', 'nt')","('就', 'd')","('叫人', 'v')","('去', 'v')","('和', 'c')","('他', 'r')","('開', 'v')","('談', 'n')","('判', 'v')","('，', 'w')","('料', 'v')","('他', 'r')","('也', 'd')","('不敢', 'v')","('不依', 'v')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
